description,input_description,output_description,problem_class,problem_score
"A hopper is a virtual creature that visits Java programs and
    explores their arrays. Scientists observed a hopper and came to
    the following conclusions:
a hopper only visits arrays with integer entries,
a hopper always explores a sequence of array elements
        using the following rules:
a hopper cannot jump too far, that is, the next
            element is always at most $D$ indices away (how far a
            hopper can jump depends on the length of its legs),
a hopper doesn’t like big changes in values—the next
            element differs from the current element by at most
            $M$, more
            precisely the absolute value of the difference is at
            most $M$ (how big
            a change in values a hopper can handle depends on the
            length of its arms), and
a hopper never visits the same element twice.
a hopper will explore the array with the longest
        exploration sequence.
The scientists now need to prepare arrays for further study
    of hoppers and they need your help. They want a program that
    given an array and values $D$ and $M$ computes the length of the longest
    exploration sequence in the array.
","The first line contains three numbers $n$, $D$, $M$, where $n$ is the length of the array (as
    described above, $D$ is
    the maximum length of a jump the hopper can make, and
    $M$ is the maximum
    difference in values a hopper can handle). The next line
    contains $n$ integers—the
    entries of the array. We have $1
    \leq D \leq 7$, $1 \leq M
    \leq 10\, 000$, $1 \leq n
    \leq 1\, 000$ and the integers in the array are between
    $-1\, 000\, 000$ and
    $1\, 000\, 000$.","The output contains one line—the length of the longest
    exploration sequence. The hopper can start and end at any
    location and the length is computed as the number of visited
    locations.",hard,9.5
"Vivi works as a font designer. She is almost done with her
    new masterpiece but thinks that something is missing. She has
    therefore decided to add some ligatures. A ligature occurs when
    two characters are combined into a single glyph. For example,
    “ff” often becomes “ﬀ”, and “ae” would sometimes become “æ” in
    old Latin writing.
Vivi knows the importance of choosing the right ligature –
    with luck, maybe her ligature will become as lasting as the
    ligature “&” (which comes from the Latin word “et”, meaning
    “and”)! Typically, ligatures are selected for character pairs
    that occur often. A good set of ligatures will not include too
    many unique ligatures but will result in many occurrences.
Taking this task very seriously, Vivi has come up with
    $Q$ suggestions for
    possible ligature sets, with $K$ ligatures in each. She now asks
    you to test each of her suggestions against her corpus, and
    determine the number of ligature occurrences for each suggested
    set.
It is important to note that the corpus is read from left to
    right, and ligatures can’t be combined. Thus, with ligatures
    for “ab”, “bc“, and “cd“, the string “abcd” would count as
    having just two ligature occurrences – the one for “bc“ would
    never get used.
","The first line of the input contains three integers:
    $N$ – the size of the
    corpus ($1 \le N \le
    10^6$); $Q$ – the
    number of suggestions ($1 \le Q
    \le 10^5$); and $K$
    – the number of ligatures in each suggested set ($1 \le K \le 20$).","For each suggested ligature set, output a line with the
    number of ligature occurrences within the corpus, if the corpus
    is read from left to right and the given ligatures are
    applied.",hard,9.5
"In the menu to the right, you are able to download an
    English dictionary (dict.txt)
    containing a sorted list of words, one per line. Your task is
    to write a program that outputs a prefix of the dictionary that
    is as long as possible.
",There is no input for this problem.,"Output a number of lines, each containing a word from the
    dictionary. The words must form a prefix of the entire
    file.",hard,9.5
,"Your program should take as input a single TSP instance. It
    will be run several times, once for every test case. The time
    limit is per test case.","Standard output should consist of $N$ lines, the $i$’th of which should contain the
    (0-based) index of the $i$’th point visited.",hard,9.5
"Erik and his grandpa often go to the forest to pick
    blueberries. Grandpa always finds the most berries, and even
    though it is not a competition, Erik has had enough of this. He
    has observed that grandpa uses a simple greedy strategy to pick
    as many berries as possible. With this information, Erik will
    try to finally pick at least as many berries as grandpa.
The blueberry shrubs can be represented as a string
    $s = s_1s_2 \dots s_ N$ of
    length $N = 10^5$,
    consisting of characters . and b. If
    $s_ i =$ b, then
    there is a berry at position $i$, otherwise there is no berry
    there. There will be exactly $N/2$ berries to start with, and they
    are distributed uniformly at random.
The berry picking takes place in turns. In one move, a
    person can choose a position $i$ ($1
    \leq i \leq N-3$), and pick all the berries at positions
    $i$, $i+1$, $i+2$, and $i+3$. Grandpa makes the first move,
    then Erik makes a move, then grandpa, and so on. Grandpa will
    always greedily make a move that picks as many berries as
    possible. Among all such moves, he will pick one uniformly at
    random.
You are given the string $s$, and your task is to write a
    program that decides what moves Erik should make in order to
    pick at least as many berries as grandpa.
",,,hard,9.4
"Baxter and Forthington are playing badminton the only
    correct way—ten thousand feet in the air!
They intend to rally the shuttlecock back and forth while
    cruising side-by-side at a constant speed. For simplicity,
    assume that they cruise at one distance unit per second.
Forthington hits the shuttlecock first; then, it alternates
    between the two of them. The rally ends when they have cruised
    $M$ distance units (that
    is, once $M$ or more
    distance units have been traveled, whoever is supposed to
    continue the rally when the shuttlecock arrives will catch it
    instead of hitting it back.)
Every time Baxter hits the shuttlecock, it will remain in
    the air for $S_1$ seconds;
    when Forthington returns it, the shuttlecock will remain in the
    air for $S_2$ seconds.
This would be simple enough, but today’s weather forecast
    predicts that the sky may become very cloudy. Clouds obscure
    vision and make hitting the shuttlecock difficult; when there
    is a cloud of haziness $h$
    in Baxter or Forthington’s position at the time she or he hits
    the shuttlecock, the shuttlecock will be hit harder and remain
    in the air for $h$ more
    seconds than usual.
There are $Q$ weather
    updates today. In the $i^\text
    {th}$ update, either:
a cloud with haziness $H_
        i$ appears at position $P_ i$ distance units from the
        start, or
the cloud at position $P_
        i$ distance units from the start disappears.
After each weather update, please determine how long—in
    terms of the number of hits—the rally will last.
",,,hard,9.4
"The construction of office buildings has become a very
    standardized task. Pre-fabricated modules are combined
    according to the customer’s needs, shipped from a faraway
    factory, and assembled on the construction site. However, there
    are still some tasks that require careful planning, one example
    being the routing of pipes for the heating system.
A modern office building is made up of square modules, one
    on each floor being a service module from which (among other
    things) hot water is pumped out to the other modules through
    the heating pipes. Each module (including the service module)
    will have heating pipes connecting it to exactly two of its two
    to four neighboring modules. Thus, the pipes have to run in a
    circuit, from the service module, visiting each module exactly
    once, before finally returning to the service module. Due to
    different properties of the modules, having pipes connecting a
    pair of adjacent modules comes at different costs. For example,
    some modules are separated by thick walls, increasing the cost
    of laying pipes. Your task is to, given a description of a
    floor of an office building, decide the cheapest way to route
    the heating pipes.
","The first line of input contains a single integer
    $n$, stating the number of
    floors to handle. Then follow $n$ floor descriptions, each beginning
    on a new line with two integers, $2 \le r \le 10$ and $2 \le c \le 10$, defining the size of
    the floor – $r \times c$
    modules. Beginning on the next line follows a floor description
    in ASCII format, in total $2r +
    1$ rows, each with $2c +
    2$ characters (count includes the final newline). All
    floors are perfectly rectangular, and will always have an even
    number of modules. All interior walls are represented by
    numeric characters, ‘0’ to
    ‘9’, indicating the cost of routing
    pipes through the wall (see sample input).","For each test case, output a single line with the cost of
    the cheapest route.",hard,9.4
"Professor Anna van Lier is preparing to give a lecture on
    balanced binary search trees. Recall that these are binary
    trees with two properties:
Balanced tree: For every node, the height of
        its left subtree and the height of its right subtree differ
        by at most $1$. For
        instance in Figure 1, the left and right subtrees of
        node $7$ have heights
        $2$ and $1$, respectively. If a node does
        not have a left (or right) subtree then that subtree is
        considered to have height $0$.
Search tree: Each node has a value. The value
        of a node is greater than all the values in the left
        subtree of the node, and smaller than all the values in the
        right subtree of the node. For instance in Figure 1,
        the left subtree of node $7$ contains the values
        $4$, $5$ and $6$ which are all smaller than
        $7$.
Anna got a picture of such a tree from a colleague. This
    tree has $n$ nodes with
    the values $1$ to
    $n$. However, it turns out
    to be too big to fit on her slides so she would like to make it
    smaller. In particular, she would like to erase some nodes from
    the tree such that it has exactly $k$ remaining nodes. Whenever she
    erases a node, she also erases the subtrees of that node. Of
    course, the resulting tree must still be a balanced binary
    search tree.
For pedagogical purposes, Anna would like the node values in
    her final tree to be small. Therefore, she wants the list of
    the $k$ remaining node
    values to be the lexicographically smallest possible. For
    example she would prefer a tree containing values $2, 5, 9$ over a tree containing
    values $2, 6, 7$.
As Anna is far too busy doing more important things, the
    task of finding which nodes to erase falls upon one of her
    teaching assistants, i.e., you.
",The input consists of:,"Output a single line with a binary string of length
    $n$. The $i$th character should be ‘1’ if the node with value $i$ should be kept, and ‘0’ if it should be erased.",hard,9.4
"Lajuk loves to play with magic, especially with a magical
    string.
A magical string consists of $N$ lowercase English characters which
    has no substring containing $3$ or more identical characters,
    e.g., “aabbaacbb”, “icpc”, “asia”,
    “singapore” are magical strings. On
    the other hand, “waaaah” and
    “singapooore” are not magical strings
    as they contain “aaaa” (in the first
    example) and “ooo” (in the second
    example).
We can convert any character in the magical string into any
    other character as long as the direct consequence of the
    conversion results in some substring containing $3$ or more identical characters. When
    this happens, that particular substring which contains
    identical characters of the maximum length will magically
    transform into an asterisk (‘*’)
    character. This is the reason why it is called a magical
    string.
For example, consider a magical string $S[1, 7] = $ “cabacbc”.
If we convert the third character (‘b’) into ‘a’, then
    the substring $S[2, 4]$
    becomes “aaa” which contains
    $3$ identical characters.
    This substring is then transformed into an asterisk ‘*’ and the string becomes “c*cbc”.
Note that the asterisk character does not have any magical
    power, i.e. we cannot convert any asterisk character, and no
    asterisk character will ever be transformed (e.g., when there
    are $3$ consecutive
    asterisk characters, nothing happens). Basically, asterisk
    characters are dead.
Now, let’s move on to the fun part. Lajuk gives you a
    magical string $S$ and an
    integer $K$. Your task is
    to convert at most $K$
    characters (one at a time) in the string such that the total
    number of characters which are transformed into asterisks is as
    large as possible.
In the example above (“cabacbc”),
    if $K = 2$, then the
    output is $6$, i.e.
    convert $S[3]$ from
    ‘b’ into ‘a’ ($3$
    characters turn into an asterisk), and convert $S[6]$ from ‘b’ into ‘c’
    ($3$ characters turn into
    an asterisk).
","Input begins with an integer $T (1 \le T \le 50)$ representing the
    number of cases. Each case contains a magical string
    $S (1 \le |S| \le 1\,
    000)$ followed by an integer $K (1 \le K \le 1\, 000)$ (separated
    by a single space) in a line. The string $S$ contains only lowercase English
    characters [‘a’..‘z’].","For each case, output in a line containing one integer
    representing the maximum number of characters in the given
    magical string which can be turned into asterisks by converting
    at most $K$
    characters.",hard,9.4
"In a country far far away, there are so many cats. The cats
    quickly dominate the whole area, they can even overwhelm
    humans! Mature cats plan to establish their own kingdom for
    their own kittens! The first thing to do is setting the border
    of their kingdom.
One day, they looked around and found $n$ beautiful bushes. They decided to
    use these bushes to mark the border of their kingdom.
Unfortunately, cats are not so good at geometry, they do not
    know any shapes except triangles. Hence, they would like to
    know if they can make a triangle border containing all of these
    bushes. The triangle border must have positive area. Please
    help them!
More formally, given $n$ points on a Cartesian coordinate
    plane, you should determine if there exists a triangle where
    all these points are on its sides. Points are allowed to
    coincide with any of the triangle’s vertices. Although all
    $n$ points have integer
    coordinates, the triangle’s vertices do not need to have
    integer coordinates.
","The input contains multiple test cases. Each test case is
    described as below:","For each test case, print ‘YES’ if there is a triangle
    satisfying the above constraints. Otherwise, print ‘NO’.",hard,9.4
"Inês is new to programming. She is writing a simple
    application to handle text. So far, the app only supports
    adding text to a blank document. Rita, her restless little
    sister, is fascinated with all the different symbols on Inês’
    screen and wants to play with it, not letting Inês work any
    longer. In order to be able to continue working, Inês decides
    to turn it into a game for Rita.
Inês will let Rita write whatever she likes in the app.
    Then, Inês will select portions of the document with width
    $W$ and challenge Rita to
    guess how many distinct sequences of symbols there are in that
    portion of text. Rita is excited to play, but there is a
    problem: Inês doesn’t know yet how to write a program to find
    the right answer for her own questions. Can you help her
    out?
","The first line of the input contains the text written by
    Rita. The text is composed only by letters $[a-z]$. The second line has two space
    separated integers: $Q$
    and $W$. $Q$ is the number of questions and
    $W$ the fixed width of
    Inês’ questions. Each of the following $Q$ lines contains a single integer
    $i$, describing a question
    to know the number of distinct substrings in the range
    $[i, i+W-1]$.","The output contains the answer to each question in the same
    order as in the input, one per line.",hard,9.4
"I don’t know how you feel about your school time, but I
    become maudlin when I remember those days. One of our teachers
    told us at the final year that among all the educational
    institutions in life one misses his/her school days the most.
    And yes, I miss those days a lot.
Let me tell you that we had a grid board in our school and
    it was not as banal as it looks in the picture. The board was
    colorful and we also had different color chalks to use on it.
    Can you imagine how exciting it was for me when I first saw
    this board? In class break we used to draw on this board and
    play different games, few of them I can recall.
One of them was like this—firstly two players will mark some
    grid points. Then they will toss deciding who plays first. At
    each turn a player marks four points as $A$, $B$, $C$ and $D$ . Then join $(A, B)$, $(B, C)$, $(C, D)$ and $(D, A)$ to form a quadrilateral.
    Twice of the area of that quadrilateral is added to his score
    and the turn changes. (In case, if you are wondering why
    twice—it is just to ensure that the score is always integer). A
    player can not draw a quadrilateral if it was drawn before.
    However, you can use previously used points. For example,
    suppose there are $5$
    points on the grid, $P$,
    $Q$, $R$, $S$ and $T$. First player can choose,
    $(A, B, C, D) = (P, Q, R,
    S)$, but then the second player can not choose
    $(A, B, C, D) = (R, S, P,
    Q)$ because both of them depict the same quadrilateral.
    If both of the players play optimally to maximize their own
    score I wonder what could be the sum of their scores.
So your task is to construe this game. You are given
    coordinates of $N$
    distinct points, if two players play the above mentioned game
    optimally then what is the sum of their scores?
","The first line contains a positive integer $N$ ($N
    \leq 700$). Hence follows $N$ coordinates of the points
    $(x, y)$. In case you
    don’t know, I should say—I am not from your time, I was brought
    here by a few scientists from future. And in my time we use
    huge boards so the absolute value of the coordinates can be as
    large as $10^6$. Just to
    ensure that no one can draw a degenerate quadrilateral, no
    three points will be collinear.","Output the sum of the scores. Since this score can be huge
    just print the answer modulo $1\,
    000\, 003$.",hard,9.4
"Tourists in the numerous Welsh valleys are in need of an IT
    solution to their transportation troubles. They want to see all
    the local Points of interest (POIs) in a specific order already
    set out by their trusty tour guides.
Visitors have to rely on various types of transportation:
    car, rickshaw, donkey cart, etc. These are only available on
    call, which is unfortunate as the poor mobile reception in the
    depths of the idyllic valleys means transportation type can
    only change at a POI.
Further, a driver will only offer tourists transportation
    between points $p_ i$,
    $p_{i+1}$, …, $p_{j-1}$, $p_ j$ under the following
    conditions:
Minimum distance: If the
        distance is less than a given threshold $d_{\mathrm{min}}$, the itinerary
        wouldn’t be worth the time of the driver. That is, the
        total distance of the itinerary: $d_ i + d_{i+1} + \ldots +
        d_{j-1}$, with $d_
        m$ the distance between $p_ m$ and $p_{m+1}$, has to be at least
        $d_{\mathrm{min}}$.
Maximum heading range: Not going
        straight is perceived as annoying by the cabbies, so the
        directions traveled can only vary within at most a certain
        integer amount of $r_{\mathrm{max}}$ degrees.
What the tourists want is a transportation switching scheme,
    which is a list of increasing indices $s_0$ …$s_{k}$ where points $p_{s_ i}$ are the locations to switch
    the type of transportation (the same transportation type can be
    used more than once, but another instance of the same type will
    need to be hailed once the original driver has had enough).
","One line containing the number of modes of
        transportation $t$
        ($1 \le t \leq 200$)
        followed by the number $n$ ($1 \le n \leq 5 \cdot 10^4$) of
        points we visit.","Write one line containing one number $k$: the minimal number of times we
    have to call for a new type of transportation to visit all
    $n$ points in the given
    order, if this is possible. If not, output IMPOSSIBLE.",hard,9.4
"Remark: We were originally planning to give you
    this in the real contest, but since we have too many awesome
    problems for you for tomorrow and this one is just way too
    easy, we decided to move it to the dress rehearsal as a sneak
    preview.
In this problem we will be exploring the concept of sorting
    numbers. Most of you have likely written a sorting algorithm
    before, but just in case, here is a tutorial: You reorder the
    numbers to put the smaller ones in front and larger ones in the
    back.
Having dealt with the theory, we come to practice. You will
    be given some integers. Please output the same integers in
    sorted order. Where is the trick, you ask? Well, you might have
    to deal with equality cases. If two numbers are equal, the one
    that was the first in the input should also be the first on the
    output. Other than that, there are no tricks, no complications.
    Just sort the numbers from lowest to highest. Simple!
Oh, one more thing. When we say some
    integers, we mean they might be somewhat large integers. To
    make life easier for you, we will express them in a simple
    “tower of powers” form. Each integer will be in the
    format
where $1 \leq a_1, a_2, \ldots
    , a_ n \leq 100$, and $1
    \leq n \leq 100$. Note that evaluation is from top to
    bottom, thus
Are you done yet? No? Better start working!
","The input consists of a single test case. The first line of
    each test case contains the number $M$ of integers in this test case,
    $1 \leq M \leq 100$. Each
    of the next $M$ lines
    describes one of the $M$
    integers. The integer is written as described above, using the
    caret (^) to represent power, with no whitespace.
    There will be between $1$
    and $100$ numbers in the
    representation of each integer, and each of these numbers will
    be an integer between $1$
    and $100$.","Display the case number ($1$) followed by the sorted list of
    integers, one per line, in the original form.",hard,9.4
